drug_name,rxcui,canonical_name
"(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid",42463,"(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid"
(+)-(4R)-Limonene,1426476,(+)-(4R)-Limonene
"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate",461016,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate"
"(+)-(5S)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate",461016,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate"
"(+)-(6R,7R)-7-((Z)-2-(2-amino-4-thiazolyl)-4-carboxycrotonamido)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid",20492,"(+)-(6R,7R)-7-((Z)-2-(2-amino-4-thiazolyl)-4-carboxycrotonamido)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid"
(+)-(R)-2-(alpha-(2-(Diisopropylamino)ethyl)benzyl)-p-cresol,119565,(+)-(R)-2-(alpha-(2-(Diisopropylamino)ethyl)benzyl)-p-cresol
(+)-(R)-Limonene,1426476,(+)-(R)-Limonene
(+)-(R)-verapamil,11170,(+)-(R)-verapamil
"(+)-(R,R)-tartaric acid",37578,"(+)-(R,R)-tartaric acid"
"(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione",42736,"(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione"
(+)-(S)-6-Methoxy-α-methyl-2-naphthaleneacetic acid,7258,(+)-(S)-6-Methoxy-α-methyl-2-naphthaleneacetic acid
(+)-(S)-N-α-dimethylphenethylamine,1422,"(αS)-N,α-dimethylphenethylamine"
(+)-(S)-Naproxen,7258,(S)-(+)-Naproxen
(+)-(S)-amphetamine,3288,(S)-(+)-amphetamine
(+)-(S)-p-isobutylhydratropic acid,5640,(+)-(S)-p-isobutylhydratropic acid
"(+)-(r)-n-(4-(1-methyl-2-oxo-1,2,3,4-tetrahydroquinolin-6-yl)-5,6,7,8-tetrahydroisoquinolin-8-yl)propionamide",4337,N-(1-Phenethyl-piperidin-4-yl)-N-phenyl-propionamide
(+)-(r)-propafenone,8754,(+)-(r)-propafenone
(+)-.ALPHA.-TOCOPHERYL POLYETHYLENE GLYCOL 1000 SUCCINATE,159151,(+)-.ALPHA.-TOCOPHERYL POLYETHYLENE GLYCOL 1000 SUCCINATE
(+)-.alpha.-dihydrotetrabenazine,2362183,(+)-.alpha.-dihydrotetrabenazine
(+)-.alpha.-dioxadrol,2362183,(+)-.alpha.-dioxadrol
"(+)-1,2-Bis(3,5-dioxo-1-piperazinyl)propane",42736,"(+)-1,2-Bis(3,5-dioxo-1-piperazinyl)propane"
(+)-1-(3-(aminomethyl) phenyl)-N-(5-((3-cyanophenyl)(cyclopropylmethylamino)methyl)-2-fluorophenyl)-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide dihydrochloride,2467540,2-[3-(aminomethyl)phenyl]-N-[5-[(R)-(3-cyanophenyl)-(cyclopropylmethylamino)methyl]-2-fluorophenyl]-5-(trifluoromethyl)pyrazole-3-carboxamide
"(+)-1-(3-methyl-4-morpholino-2,2-diphenylbutyryl)pyrrolidine",3290,"(+)-1-(3-methyl-4-morpholino-2,2-diphenylbutyryl)pyrrolidine"
